Fecha	Comprador	Vendedor	Jugador	Precio	Tipo	Foto
14/09/2020 - 10:31:00	futmondo	echo de menos el Netliga	Mangala	1228460	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/eliaquim-mangala.png
31/08/2020 - 21:20:00	HOPE TEAM S.A	futmondo	Fede Valverde	23500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/78074594.png
23/08/2020 - 20:16:00	Pineda team	futmondo	Capa	27596969	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67187680.png
20/08/2020 - 20:14:00	Maño's Team	futmondo	Kang-in Lee	6201000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/kang-in-lee.png
11/09/2020 - 08:32:00	futmondo	Hala Modric	Cheryshev	1569636	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67011250.png
19/08/2020 - 20:14:00	Pineda team	futmondo	Masip	9082236	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67038645.png
19/08/2020 - 20:14:00	Luis Ragan	futmondo	Merquelanz	3888888	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67199409.png
25/08/2020 - 21:14:00	Ruben Esteban	futmondo	Mikel Merino	29652000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67211760.png
06/09/2020 - 21:28:00	Hala Modric	futmondo	Luis Rioja	1009999	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67196000.png
03/09/2020 - 22:46:00	futmondo	Ruben Esteban	Dmitrovic	16124196	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/62038612.png
06/09/2020 - 21:28:00	Huevo Frito C.F.	futmondo	Balenziaga	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67029321.png
16/09/2020 - 15:05:00	Maño's Team	Ruben Esteban	Rafa Mir	17250995	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67221051.png
10/09/2020 - 21:31:00	Albar ÉldelBar	futmondo	Faycal Fajr	1000000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/85084000.png
10/09/2020 - 21:31:00	Albar ÉldelBar	futmondo	Gudelj	1157202	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/nemanja-gudelj.png
23/08/2020 - 20:16:00	HOPE TEAM S.A	futmondo	Salvi	5500000	COMPRA	https://static01.mondocore.com/futmondo/img/faces/64/67193445.png
